GeneID,Sensitive_azt0,Sensitive_azt2,Resistant_azt0,Resistant_azt2,Resistant_azt4
PP_1675,81.20525507,43.02994712,76.33959973,38.34491827,40.36017436
PP_1676,84.20278503,42.53427236,76.47932036,38.00596959,37.02050839
PP_1677,179.1053671,77.5945752,139.1221568,68.9823063,61.86885675
PP_1678,79.06282108,36.91199444,74.78249334,35.26568966,31.8988849
PP_1679,136.876466,49.8430308,90.94156974,58.18642906,49.111432
PP_1680,45.63951557,19.5756932,42.76811237,15.44997856,19.8683748
PP_1681,40.45821637,17.52207709,30.68567972,23.78140106,15.21410881
PP_1686,164.146997,116.9025573,151.830564,149.3615595,131.0037544
PP_1689,2010.559274,2038.636343,2151.140545,2435.900675,2296.662258
PP_1700,371.5191449,347.763534,317.5817775,308.6359179,321.2557735
PP_1705,46.77283789,45.47458573,51.1010645,50.12995646,45.36677003
PP_1710,10.51067596,13.34264042,13.54101432,10.27894537,9.582117391
PP_1735,172.5330448,163.9435493,165.7224685,151.4924248,164.0490268
PP_1741,39.96031841,40.62882065,39.63711363,42.75730682,41.09094019
PP_1743,238.9868187,181.8861806,271.7449604,291.0275748,182.8385849
PP_1750,606.5876347,776.8543056,437.5643866,762.7386797,703.4557474
PP_1755,177.976081,213.4793844,162.703233,188.0637353,209.1991841
PP_1761,619.2109884,549.1843888,601.7908357,693.1689085,563.7453493
PP_1764,81.56179528,77.85884154,90.69470944,77.13907769,82.03442756
PP_1765,262.9720659,257.0382016,292.843122,251.549662,256.7166726
PP_1766,113.8439471,101.0986858,106.9716302,80.03903196,94.49943608
PP_1768,429.0890987,431.603859,461.5573135,391.1206078,413.6116978
